import time: self [us] | cumulative | imported package
import time:       152 |        152 |   _io
import time:        21 |         21 |   marshal
import time:       140 |        140 |   posix
import time:       310 |        621 | _frozen_importlib_external
import time:       816 |        816 |   time
import time:       115 |        931 | zipimport
import time:        89 |         89 |     _codecs
import time:       167 |        255 |   codecs
import time:       656 |        656 |   encodings.aliases
import time:       978 |       1888 | encodings
import time:       642 |        642 | encodings.utf_8
import time:        69 |         69 | _signal
import time:        19 |         19 |     _abc
import time:        81 |         99 |   abc
import time:       104 |        202 | io
import time:        29 |         29 |       _stat
import time:        41 |         69 |     stat
import time:       504 |        504 |     _collections_abc
import time:        21 |         21 |       genericpath
import time:        38 |         59 |     posixpath
import time:       192 |        822 |   os
import time:        41 |         41 |   _sitebuiltins
import time:       548 |        548 |   encodings.utf_8_sig
import time:      1135 |       1135 |   _distutils_hack
import time:       195 |        195 |   sitecustomize
import time:      2181 |       4921 | site
import time:       549 |        549 |     types
import time:        54 |         54 |       _operator
import time:       657 |        711 |     operator
import time:       133 |        133 |         itertools
import time:       424 |        424 |         keyword
import time:       426 |        426 |         reprlib
import time:        44 |         44 |         _collections
import time:      1041 |       2066 |       collections
import time:        62 |         62 |       _functools
import time:       907 |       3034 |     functools
import time:      1359 |       5652 |   enum
import time:        67 |         67 |     _sre
import time:       396 |        396 |       re._constants
import time:       690 |       1086 |     re._parser
import time:       271 |        271 |     re._casefix
import time:       870 |       2293 |   re._compiler
import time:       425 |        425 |   copyreg
import time:      1014 |       9382 | re
import time:       592 |        592 |       dimos
import time:       425 |       1016 |     dimos.robot
import time:       215 |       1230 |   dimos.robot.cli
import time:       901 |        901 |       _ast
import time:       972 |        972 |       contextlib
import time:      3878 |       5750 |     ast
import time:       520 |        520 |         _opcode
import time:     12152 |      12671 |       opcode
import time:      1785 |      14456 |     dis
import time:       695 |        695 |     collections.abc
import time:       726 |        726 |         warnings
import time:       611 |       1337 |       importlib
import time:       106 |       1443 |     importlib.machinery
import time:       515 |        515 |         token
import time:        64 |         64 |         _tokenize
import time:      3233 |       3811 |       tokenize
import time:       605 |       4416 |     linecache
import time:       681 |        681 |       _weakrefset
import time:      1117 |       1798 |     weakref
import time:      3225 |      31778 |   inspect
import time:        61 |         61 |     _typing
import time:      4319 |       4379 |   typing
import time:       650 |        650 |       fnmatch
import time:        80 |         80 |       errno
